file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\exception\BidTooLowException.java,com.bidkita.bidkita_backend.exception.BidTooLowException,class,0,2,2,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\model\enums\NotificationType.java,com.bidkita.bidkita_backend.model.enums.NotificationType,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\security\JwtFilter.java,com.bidkita.bidkita_backend.security.JwtFilter,class,8,9,1,8,5,2,0,10,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,1,19,0,0,1,0,0,3,1,6,1,6,2,0,0,0,32,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\repository\NotificationRepository.java,com.bidkita.bidkita_backend.repository.NotificationRepository,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\dto\request\LoginRequestDTO.java,com.bidkita.bidkita_backend.dto.request.LoginRequestDTO,class,3,5,2,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\exception\InvalidCredentialsException.java,com.bidkita.bidkita_backend.exception.InvalidCredentialsException,class,0,2,2,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\model\Bid.java,com.bidkita.bidkita_backend.model.Bid,class,10,16,6,10,10,1,0,2,13,0.74285716,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,1,39,5,0,2,0,0,7,1,6,0,5,1,0,0,0,28,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\scheduler\AuctionScheduler.java,com.bidkita.bidkita_backend.scheduler.AuctionScheduler,class,9,9,0,9,10,1,0,15,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,36,0,2,5,0,0,4,1,7,4,7,5,0,0,0,29,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\controller\BuyerController.java,com.bidkita.bidkita_backend.controller.BuyerController,class,7,7,0,7,2,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,3,0,2,0,2,0,0,0,0,10,1,0
D:\Telkom University\Semester 4\PBO\Bidkita\bidkita-backend\src\main\java\com\bidkita\bidkita_backend\dto\response\ErrorResponseDTO.java,com.bidkita.bidkita_backend.dto.response.ErrorResponseDTO,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0
